Lat,Long,PB206_PB204,PB207_PB204,PB208_PB204
-50.215,137.555,18.812,15.503,38.144
-50.417,135.09,18.959,15.566,38.363
-50.267,132.55,18.911,15.514,38.319
-50.408,131.005,18.74625,15.49475,38.193
-48.9727,127.222,18.638,15.451,38.098
-50.163,127.577,18.7575,15.491,38.2485
-48.763,127.36,18.608,15.458,38.073
-50.162,127.833,18.685,15.489,38.17
-50.152,127.652,18.711,15.49,38.207
-50.222,127.417,18.613,15.466,38.09
-50.3,130.417,18.617,15.48,38.095
-50.147,127.017,18.689,15.488,38.187
-50.147,128.015,18.656,15.489,38.152
-50.21,128.54,18.699,15.5,38.21
-50.243,127.59,18.657,15.488,38.169
-50.107,127.962,18.687,15.505,38.207
-50.198,127.063,18.583,15.479,38.101
-50.312,129.533,18.594,15.484,38.121
-48.738,127.08,18.572,15.482,38.097
-49.227,127.657,18.632,15.498,38.187
