LONGITUDE,LATITUDE,PB206_PB204,PB207_PB204,PB208_PB204
1.2048,-65.16,17.398,15.492,37.445
156.162,-62.8557,18.9773,15.5392,38.6371
156.332,-62.8248,18.8596,15.5222,38.5469
156.388,-62.8067,18.7616,15.5253,38.4731
82.7875,-62.709,17.76042857,15.73028571,38.98371429
156.833,-62.7033,18.6914,15.507,38.3928
157.033,-62.6283,18.8528,15.5215,38.547
157.133,-62.6,18.8576,15.5233,38.5432
157.85,-62.4333,18.8393,15.5249,38.5484
158.017,-62.3817,18.9588,15.5297,38.6524
158.283,-62.3133,19.0878,15.5524,38.7802
158.433,-62.275,18.887,15.5447,38.5539
158.567,-62.22,19.0923,15.5587,38.7807
158.717,-62.17,18.9883,15.5516,38.7295
158.792,-62.145,18.966,15.5464,38.6578
158.867,-62.1233,19.1086,15.56,38.8096
158.919,-62.1109,18.8197,15.5305,38.4989
158.958,-62.0967,18.9554,15.5423,38.6467
159.017,-62.0833,18.9398,15.5379,38.6351
159.083,-62.0633,18.8083,15.5238,38.4874
159.167,-62.035,18.8339,15.5286,38.519
159.35,-61.9783,18.7327,15.5171,38.429
159.45,-61.953,18.8554,15.5343,38.5481
159.506,-61.9369,18.6697,15.5238,38.3529
159.567,-61.9183,18.5072,15.4958,38.1704
159.672,-61.8875,18.4593,15.4983,38.1089
159.733,-61.8717,18.4337,15.4844,38.0842
159.933,-61.8467,18.2553,15.4736,37.9992
160.317,-61.7383,18.4077,15.4898,38.06
160.5,-61.6767,18.508,15.4894,38.1168
160.967,-61.5133,18.3241,15.4721,37.9582
151.835,-60.2184,19.1449,15.5588,38.8283
152.167,-60.1538,18.539,15.5095,38.1964
152.865,-59.9866,18.5549,15.6344,38.3841
153.049,-59.9636,18.4627,15.5176,38.0964
153.157,-59.9416,18.348,15.48,37.9515
84.8348,-59.6516,18.01566667,15.577,38.53566667
104.488,-59.2623,17.992,15.489,37.855
76.4075,-58.717,18.0508,15.5904,38.2204
78.9981,-58.441,18.305,15.613,38.495
157.96,-58.25,18.603,15.487,38.048
81.2395,-57.592,18.112,15.585,38.405
110.112,-56.4022,18.1,15.479,37.911
76.794,-54.811,17.783,15.53733333,38.16933333
-0.01,-54.68,19.244,15.619,38.99
0.068,-54.648,19.09,15.569,38.826
3.35833,-54.5,19.4485,15.6405,39.068
5.137,-54.397,19.163,15.591,38.756
1.2,-54.37,18.55106667,15.5897,38.52096667
4.052,-54.228,19.287,15.647,39.022
1.97,-54.12,18.5733,15.56835,38.3447
7.223,-54.045,18.685,15.55966667,38.38233333
2.13,-54.03,18.41325,15.57665,38.47185
3.52,-54.03,19.327,15.6335,39.0065
3.522,-54.03,19.316,15.631,38.987
75.9749,-53.5518,18.089,15.498,38.3928
109.946,-53.5408,18.08,15.497,37.999
24.76,-53.41,18.417,15.5,38.012
25.508,-53.175,18.568,15.561,38.265
25.488,-53.16,18.458,15.485,38.049
22.83,-53.158,18.418,15.492,37.965
9.97,-53.15,18.789,15.493,38.426
14.5,-53.12,19.254,15.642,39.305
25.327,-53.113,18.49,15.562,38.28
10.888,-52.855,19.068,15.582,38.866
4.38,-52.65,18.08103333,15.546,38.22426667
26.335,-52.58,18.4575,15.535,38.2345
13.133,-52.35,18.804,15.5615,38.6815
18.046,-52.294,18.968,15.551,38.767
16.91,-52.293,19.045,15.557,38.554
13.68,-52.28,18.769,15.56,38.623
4.83,-52.27,18.1259,15.52655,38.24425
14.63,-52.22,19.243,15.632,39.315
14.601,-52.104,19.27,15.617,39.297
14.12,-52.1,19.1505,15.6025,38.793
5.6,-51.62,18.63723333,15.58343333,38.55713333
5.85,-51.28,18.63366667,15.59146667,38.5923
71.0667,-51.0178,17.86,15.50333333,38.25
135.09,-50.417,18.998,15.613,38.468
131.005,-50.408,18.74625,15.49475,38.193
113.616,-50.3475,17.947,15.461,37.796
112.686,-50.3231,17.95,15.466,37.821
112.316,-50.3163,17.813,15.443,37.594
129.533,-50.312,18.594,15.484,38.121
112.595,-50.3073,17.931,15.455,37.785
113.454,-50.3007,18.017,15.45,37.81
130.417,-50.3,18.617,15.48,38.095
112.49,-50.296,17.964,15.454,37.819
132.55,-50.267,18.911,15.514,38.319
127.59,-50.243,18.657,15.488,38.169
127.417,-50.222,18.6215,15.4705,38.0945
137.555,-50.215,18.82,15.506,38.166
111.783,-50.2115,17.972,15.478,37.829
128.54,-50.21,18.699,15.5,38.21
127.063,-50.198,18.583,15.479,38.101
112.857,-50.1879,17.96,15.4545,37.7565
63.94,-50.185,17.46456803,15.5127873,37.96147799
127.577,-50.163,18.763,15.4915,38.24375
127.833,-50.162,18.685,15.489,38.17
127.652,-50.152,18.711,15.49,38.207
127.017,-50.147,18.689,15.488,38.187
128.015,-50.147,18.656,15.489,38.152
127.962,-50.107,18.687,15.505,38.207
126.742,-50.042,17.9135,15.4655,37.771
115.212,-50.0078,17.894,15.459,37.887
115.375,-49.917,17.77775,15.5012,37.862
69.64,-49.9,18.4156341,15.54251784,38.98104057
114.481,-49.8604,17.935,15.479,37.938
118,-49.858,17.944,15.409,37.743
110.412,-49.8275,17.933,15.491,37.912
119.175,-49.808,18.1694,15.4888,38.00775
111.134,-49.7813,18.064,15.468,37.964
126.167,-49.768,17.96,15.466,37.865
70.075181,-49.729124,18.28896848,15.53425442,38.82725226
70.080742,-49.724819,18.41827466,15.5302221,38.95182373
70.07524,-49.72067,18.39668629,15.52856686,38.89230705
70.077749,-49.716361,18.3787323,15.5414527,38.89642835
70.080074,-49.711446,18.39117695,15.53761297,38.90041303
70.079229,-49.710217,18.28420885,15.51848653,38.7584434
117.517,-49.7047,18.011,15.47,37.847
125.408,-49.6883,17.709,15.411,37.565
125.892,-49.68,17.7635,15.4295,37.5875
125.658,-49.613,17.792,15.4105,37.619
69.5,-49.58,18.20929529,15.51641133,38.70212274
109.484,-49.527,18.198,15.512,38.262
127.593,-49.522,18.6675,15.4985,38.208
117.182,-49.5055,17.974,15.513,38.027
69.67,-49.48,18.31513234,15.54609947,38.84207992
121.033,-49.467,18.23205,15.47885,38.24645
109.105,-49.45,18.128,15.475,38.047
69.89,-49.35,18.33996336,15.53813275,38.82324471
70.06,-49.3,18.32173524,15.54532267,38.82251206
116.718,-49.2749,17.478,15.458,37.466
105.868,-49.2287,18.06,15.495,38.005
127.657,-49.227,18.6325,15.497,38.2035
105.588,-49.1163,18.351,15.536,38.268
124.89,-49.0952,17.867,15.46,37.648
124.965,-49.062,17.8694,15.4732,37.7278
124,-49.033,18.0325,15.4505,37.826
108.514,-49.0252,18.011,15.459,37.845
124.708,-48.99,17.788,15.462,37.547
127.222,-48.9727,18.638,15.451,38.098
124.282,-48.943,17.91375,15.4635,37.702
124.468,-48.907,17.954,15.485,37.754
106.494,-48.8733,18.242,15.4935,38.199
68.96,-48.87,18.24726658,15.52997011,38.73302129
69.13,-48.85,18.31505192,15.53134465,38.73595932
126.883,-48.765,18.399,15.4815,38.0305
127.36,-48.763,18.6285,15.4745,38.1135
105.224,-48.7517,18.144,15.467,37.936
108.277,-48.7383,18.282,15.491,38.273
127.08,-48.738,18.572,15.482,38.097
126.52,-48.68,18.232,15.4725,37.977
68.5,-48.55,18.2955214,15.54670827,38.73609526
126.653,-48.4698,18.439,15.479,38.056
107.527,-48.4288,18.365,15.503,38.353
125.677,-48.41,17.479,15.387,37.28
107.145,-48.3497,18.284,15.508,38.249
104.966,-48.3172,18.14,15.494,37.99
104.662,-48.2133,18.322,15.506,38.217
99.26,-48.16,17.8925,15.4755,37.6011
99.18,-48.13,17.91615,15.4803,37.66565
103.931,-48.1037,18.062,15.466,37.844
98.9432,-48.1005,17.891,15.486,37.578
98.93,-48.06,17.898,15.4772,37.6139
99.12,-48.04,17.9009,15.4783,37.5939
127.47,-48.0233,18.539,15.476,38.078
102.54,-48.0187,17.951,15.465,37.719
98.82,-48,17.9134,15.4789,37.651
98.77,-47.98,17.8968,15.4804,37.6867
103.571,-47.972,18.103,15.482,37.936
98.69,-47.95,17.9378,15.479,37.6513
98.6012,-47.9095,17.914,15.483,37.682
98.55,-47.9,17.9041,15.4805,37.6684
98.45,-47.88,17.8748,15.4759,37.5745
103.353,-47.878,18.114,15.477,37.922
102.14,-47.8763,17.989,15.475,37.77
98.42,-47.83,17.8966,15.4794,37.6981
98.31,-47.82,17.8979,15.4811,37.6367
98.24,-47.79,17.8993,15.4792,37.6243
103.038,-47.765,17.987,15.48,37.802
98.18,-47.75,17.9403,15.4835,37.75
126.168,-47.7405,17.898,15.464,37.773
126.983,-47.7333,17.982,15.463,37.858
98.09,-47.73,17.9219,15.4813,37.663
98.1568,-47.7107,17.843,15.483,37.614
98.16,-47.71,17.8311,15.47555,37.56895
32.147,-47.7,18.138,15.473,37.95
98.03,-47.7,17.917,15.488,37.7427
97.98,-47.68,17.9935,15.482,37.7085
101.532,-47.6313,18.105,15.485,37.944
97.94,-47.63,17.9141,15.4783,37.6838
97.86,-47.62,17.928,15.4797,37.7114
97.8,-47.59,18.0042,15.4753,37.6288
101.223,-47.59,17.996,15.467,37.764
97.74,-47.57,17.9015,15.4624,37.5348
97.68,-47.53,18.0536,15.4804,37.7766
97.61,-47.51,17.923,15.4796,37.6938
127.604,-47.4932,18,15.478,37.904
97.55,-47.48,17.9202,15.4806,37.6915
100.961,-47.4583,18.257,15.512,38.102
97.512,-47.4463,17.898,15.4955,37.772
97.44,-47.41,17.908,15.478,37.7221
97.38,-47.38,17.918,15.4801,37.7157
97.32,-47.36,17.9081,15.4807,37.7278
100.672,-47.335,18.133,15.483,37.923
97.26,-47.31,17.9048,15.48,37.7054
97.23,-47.27,17.889,15.4703,37.6584
97.16,-47.24,17.9515,15.4798,37.7547
97.09,-47.21,17.7622,15.4709,37.6068
97.01,-47.19,17.8858,15.4777,37.7044
100.863,-47.1865,18.088,15.466,37.874
32.67,-47.17,18.078,15.454,37.59
96.95,-47.16,17.8871,15.4784,37.7149
96.89,-47.12,17.8416,15.4775,37.6817
96.8325,-47.076,17.841,15.481,37.786
96.76,-47.05,17.8703,15.4707,37.7432
96.71,-47.02,17.8152,15.4723,37.6725
96.69,-46.95,17.8058,15.4731,37.6371
96.63,-46.92,17.7773,15.476,37.6161
96.57,-46.9,17.7971,15.4755,37.5986
37.86,-46.89,18.688,15.529,38.471
